MT,ANACONDA DEER LODGE CTY POLICE DEPT,1450-01-287-7003,"TRAILER,MAINTENANCE-REPAIR PARTS,GUIDED MISSILE SYSTEM",1,Each,"$137,814.00",B,3,"Mar 18, 2014 11:55:32 AM"
MT,DOJ/DEA BILLINGS,8430-DS-BOO-TS01,"BOOTS,' MEN''S', PAIR",10,Pair,$0.00,A,,"Dec 15, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,8430-DS-BOO-TS01,"BOOTS,' MEN''S', PAIR",43,Pair,$0.00,A,,"Dec 23, 2015 12:00:00 AM",
MT,DOJ/DEA BILLINGS,8460-DS-LUG-GAGE,LUGGAGE,1,Each,$0.00,A,,"Nov 24, 2015 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,8465-DS-IND-EQU0,INDIVIDUAL EQUIPMENT,6,Each,$0.00,A,,"Jan 5, 2016 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,8465-DS-BAG-0002,INDIVIDUAL BAG,4,Each,$0.00,A,,"Jan 5, 2016 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,5110-00-233-9711,"RASP,HAND",10,Each,$14.17,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,1005-01-562-0953,"SCOPE,RIFLE        ",2,Each,"$1,089.81",C,1,"Jan 6, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,8465-01-465-2152,"POUCH,SUSTAINMENT  ",25,Each,$9.95,A,1,"Jan 5, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5210-01-121-5052,LEVEL AND PLUMB,2,Each,$29.32,A,1,"Dec 15, 2015 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,6230-01-549-3979,FLASHLIGHT,10,Each,"$3,816.24",B,3,"Feb 12, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8140-00-960-1699,"CHEST,AMMUNITION",20,Each,$11.10,A,1,"Feb 10, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8140-00-960-1699,"CHEST,AMMUNITION",10,Each,$11.10,A,1,"Nov 24, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5855-01-460-9602,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,954.40",D,1,"Jan 11, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-460-9602,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,954.40",D,1,"Jan 11, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5855-01-460-9602,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,954.40",D,1,"Jan 11, 2016 12:00:00 AM",
MT,DOJ/DEA BILLINGS,5120-00-965-0626,"SCREWDRIVER,CROSS TIP",4,Each,$3.62,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5120-00-965-0627,"SCREWDRIVER,CROSS TIP",19,Each,$20.24,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8415-00-268-7859,"GLOVES,WELDERS",3,Pair,$19.33,A,1,"Jan 5, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8405-01-547-2559,"LINER,WET WEATHER PONCHO",5,Each,$38.73,A,1,"Jan 5, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,6515-01-532-8056,HYPOTHERMIA MANAGEMENT KIT,8,Each,$119.98,A,1,"Feb 8, 2016 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,8140-00-828-2938,"CHEST,AMMUNITION",10,Each,$3.88,A,1,"Nov 24, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8465-01-465-2109,"BELT,MOLDED WAIST  ",30,Each,$20.18,A,1,"Feb 29, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5120-01-140-9244,"WRENCH,PIPE",2,Each,$30.87,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5120-00-103-9743,"SCREWDRIVER SET,FLAT TIP",1,Set,$22.65,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,1240-01-540-3690,"SIGHT,REFLEX",35,Each,$365.00,D,1,"Feb 8, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8465-01-445-6274,MODULAR SLEEP SYSTEM,26,Each,$263.05,A,1,"Nov 4, 2015 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,5120-00-965-0626,"SCREWDRIVER,CROSS TIP",16,Each,$3.62,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5120-00-278-1276,"SCREWDRIVER,FLAT TIP",18,Each,$10.14,A,1,"Dec 15, 2015 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,8465-00-165-6838,"CUP,WATER CANTEEN",16,Each,$14.03,A,1,"Jan 5, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,6545-01-587-1199,"MEDICAL EQUIPMENT SET,TRAUMA,FIELD",4,Each,"$1,481.03",A,1,"Nov 10, 2015 12:00:00 AM"
MT,DOJ/DEA BILLINGS,8465-01-580-0981,ASSAULT PACK       ,8,Each,$77.34,A,1,"Nov 10, 2015 12:00:00 AM",,,
MT,DOJ/DEA BILLINGS,1005-01-526-7354,"CLEANING KIT,GUN",4,Kit,$108.11,A,1,"Jan 7, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,1005-01-526-7354,"CLEANING KIT,GUN",11,Kit,$108.11,A,1,"Jan 7, 2016 12:00:00 AM",,
MT,DOJ/DEA BILLINGS,5120-01-416-8568,"COMBINATION TOOL,HAND",5,Set,$153.87,A,1,"Oct 26, 2015 12:00:00 AM",,
MT,DOJ/GAMBLING CONTROL DIV,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,DOJ/GAMBLING CONTROL DIV,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,DOJ/GAMBLING CONTROL DIV,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,DOJ/GAMBLING CONTROL DIV,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,DOJ/GAMBLING CONTROL DIV,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,DOJ/GAMBLING CONTROL DIV,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,DOJ/GAMBLING CONTROL DIV,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,DOJ/GAMBLING CONTROL DIV,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,DOJ/GAMBLING CONTROL DIV,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,DOJ/GAMBLING CONTROL DIV,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,EUREKA POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Apr 16, 2012 12:00:00 AM",
MT,EUREKA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 16, 2012 12:00:00 AM",,
MT,EUREKA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 16, 2012 12:00:00 AM",,
MT,EUREKA POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Apr 16, 2012 12:00:00 AM",
MT,EUREKA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 16, 2012 12:00:00 AM",,
MT,EUREKA POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Apr 16, 2012 12:00:00 AM",
MT,FALLON CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 10, 2006 12:00:00 AM",
MT,FALLON CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FALLON CTY SHERIFF DEPT,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Oct 10, 2006 12:00:00 AM",
MT,FALLON CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FALLON CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FALLON CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FALLON CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FALLON CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 10, 2006 12:00:00 AM",
MT,FALLON CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,"$658,000.00",C,1,"Sep 23, 2013 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,2320-01-107-7153,"TRUCK,UTILITY",1,Each,"$63,894.00",C,1,"Jun 13, 2012 12:00:00 AM",
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,5855-01-228-0938,NIGHT VISION GOGGLE,1,Each,"$4,300.00",F,1,"May 19, 1998 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 31, 2006 12:00:00 AM",,
MT,FLATHEAD CTY SHERIFF DEPT,2320-01-074-7642,"TRUCK,ARMORED",1,Each,"$65,070.00",C,1,"Oct 18, 1996 12:00:00 AM",
MT,FORT BENTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FORT BENTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,FROMBERG POLICE DEPT,5855-01-030-8601,"IMAGER,OPTICAL     ",1,Each,"$1,371.15",D,1,"Mar 18, 2014 11:55:32 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 5, 2007 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 5, 2007 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 21, 2008 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 21, 2008 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 21, 2008 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 21, 2008 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 21, 2008 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 21, 2008 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jun 2, 2006 12:00:00 AM",
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 5, 2007 12:00:00 AM",,
MT,GALLATIN CTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 2, 2006 12:00:00 AM",,
